iter	RMSE
938	2.332147633
939	2.332042666
940	2.331453249
941	2.329360594
942	2.327713398
943	2.327130872
944	2.327057589
945	2.326436276
946	2.325004028
947	2.324967337
948	2.324591845
949	2.32355037
950	2.322646631
951	2.321511326
952	2.32082191
953	2.320467008
954	2.318794074
955	2.317611045
956	2.317351529
957	2.317295368
958	2.314838009
959	2.313403413
960	2.312896292
961	2.310700871
962	2.309597357
963	2.307630865
964	2.305945628
965	2.304246952
966	2.304159488
967	2.303506912
968	2.301696151
969	2.30030944
970	2.298297828
971	2.297701765
972	2.297662342
973	2.297564452
974	2.29747262
975	2.295684201
976	2.294943749
977	2.292292294
978	2.291115389
979	2.289590983
980	2.287688999
981	2.28672044
982	2.285932844
983	2.285040679
984	2.283729253
985	2.283210043
986	2.282048169
987	2.281932706
988	2.281027532
989	2.280904027
990	2.279897005
991	2.278734109
992	2.276047837
993	2.276017908
994	2.275074515
995	2.274216298
996	2.274062848
997	2.273441418
998	2.271081155
999	2.27000914
